"Nome do anúncio",Anúncios,Idade,Gênero,Dia,Objetivo,Alcance,Impressões,Frequência,"Valor gasto (BRL)","Tipo de resultado",Resultados,"Custo por resultado","Status de veiculação","Nível de veiculação","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Reproduções de 95% do vídeo","Reproduções de 100% do vídeo","Seguidores no Instagram","Cliques no link",Objetivo,"Custo por 1.000 Contas Meta alcançadas","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
"5 tendencias | primavera | vídeo","5 tendencias | primavera | vídeo",35-44,female,2026-09-04,OUTCOME_ENGAGEMENT,218,226,1.03669725,2.31,"Conversas por mensagem iniciadas",1,2.31,not_delivering,ad,14,11,9,4,4,0,1,Engajamento,10.59633028,,,2026-09-04,2026-09-04,
"5 tendencias | primavera | vídeo","5 tendencias | primavera | vídeo",18-24,female,2026-09-04,OUTCOME_ENGAGEMENT,69,76,1.10144928,0.41,,,,not_delivering,ad,3,2,2,2,2,0,,Engajamento,5.94202899,,,2026-09-04,2026-09-04,
"Salto dourado | vídeo","Salto dourado | vídeo",18-24,female,2026-09-03,OUTCOME_ENGAGEMENT,148,211,1.42567568,0.9,,,,not_delivering,ad,,,,,,0,3,Engajamento,6.08108108,,,2026-09-03,2026-09-03,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",25-34,female,2026-09-03,OUTCOME_ENGAGEMENT,422,524,1.24170616,3.71,,,,not_delivering,ad,,,,,,0,3,Engajamento,8.79146919,,,2026-09-03,2026-09-03,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",35-44,female,2026-09-03,OUTCOME_ENGAGEMENT,547,708,1.29433272,7.4,"Conversas por mensagem iniciadas",2,3.7,not_delivering,ad,,,,,,0,10,Engajamento,13.52833638,,,2026-09-03,2026-09-03,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",18-24,female,2026-09-03,OUTCOME_ENGAGEMENT,278,337,1.21223022,1.39,,,,not_delivering,ad,,,,,,0,3,Engajamento,5,,,2026-09-03,2026-09-03,
"5 tendencias | primavera | vídeo","5 tendencias | primavera | vídeo",18-24,female,2026-09-03,OUTCOME_ENGAGEMENT,132,158,1.1969697,1,"Conversas por mensagem iniciadas",1,1,not_delivering,ad,6,3,2,1,1,0,,Engajamento,7.57575758,,,2026-09-03,2026-09-03,
"Salto dourado | vídeo","Salto dourado | vídeo",35-44,female,2026-09-03,OUTCOME_ENGAGEMENT,493,732,1.48478702,8.28,"Conversas por mensagem iniciadas",1,8.28,not_delivering,ad,,,,,,0,8,Engajamento,16.79513185,,,2026-09-03,2026-09-03,
"Salto dourado | vídeo","Salto dourado | vídeo",25-34,female,2026-09-03,OUTCOME_ENGAGEMENT,495,725,1.46464646,5.24,"Conversas por mensagem iniciadas",2,2.62,not_delivering,ad,,,,,,0,10,Engajamento,10.58585859,,,2026-09-03,2026-09-03,
"5 tendencias | primavera | vídeo","5 tendencias | primavera | vídeo",25-34,female,2026-09-03,OUTCOME_ENGAGEMENT,490,574,1.17142857,4.15,,,,not_delivering,ad,29,14,9,4,4,0,5,Engajamento,8.46938776,,,2026-09-03,2026-09-03,
